,T,Po,P,U,DD,Ff,ff3,Td,Measured & upscaled [MW],Monitored Capacity [MW],power
2015-01-01 22:00:00,4.7,768.3,769.2,79.0,11.0,11.0,17.0,1.3,447.07,513.0800000000003,0.8713455991268414
2015-01-01 23:00:00,4.8,767.5,768.4,81.0,11.0,11.0,18.0,1.7,440.48,513.0800000000003,0.8585015981913148
2015-01-02 00:00:00,3.7,738.8,739.7,95.0,10.0,10.0,15.0,3.0,441.03,513.0800000000003,0.8595735557807744
2015-01-02 01:00:00,3.5,739.3,740.2,93.0,8.0,13.0,18.0,2.5,446.15,513.0800000000003,0.8695525064317451
2015-01-02 02:00:00,4.1,739.3,740.2,95.0,10.0,11.0,17.0,3.4,454.12,513.0800000000003,0.8850861464099161
2015-01-02 03:00:00,4.1,740.0,740.9,83.0,8.0,13.0,19.0,1.5,450.07,513.0800000000003,0.8771926405238945
2015-01-02 04:00:00,4.1,740.2,741.1,82.0,8.0,12.0,19.0,1.2,438.38,513.0800000000003,0.8544086692133775
2015-01-02 05:00:00,4.1,740.6,741.4,79.0,8.0,12.0,17.0,0.7,424.29,513.0800000000003,0.8269470647852183
2015-01-02 06:00:00,4.0,740.8,741.7,78.0,4.0,9.0,16.0,0.5,416.68,513.0800000000003,0.8121150697746936
2015-01-02 07:00:00,3.9,741.0,741.9,82.0,4.0,7.0,19.0,1.0,397.24,513.0800000000003,0.7742262415217895
2015-01-02 08:00:00,4.0,740.9,741.8,83.0,4.0,6.0,12.0,1.4,380.28,513.0800000000003,0.7411709674904494
2015-01-02 09:00:00,3.6,740.8,741.6,95.0,3.0,6.0,14.0,2.8,356.87,513.0800000000003,0.6955445544554452
2015-01-02 10:00:00,4.6,740.8,741.6,90.0,4.0,11.0,18.0,3.1,288.03,513.0800000000003,0.5613744445310669
2015-01-02 11:00:00,4.5,741.1,742.0,89.0,4.0,9.0,19.0,2.9,240.29,513.0800000000003,0.4683285257659622
2015-01-02 12:00:00,4.6,741.4,742.3,93.0,8.0,11.0,21.0,3.6,246.43,513.0800000000003,0.48029547049193083
2015-01-02 13:00:00,4.7,741.8,742.7,95.0,6.0,13.0,21.0,3.9,239.79,513.0800000000003,0.46735401886645334
2015-01-02 14:00:00,4.8,742.6,743.5,95.0,10.0,12.0,18.0,4.1,264.94,513.0800000000003,0.5163717159117484
2015-01-02 15:00:00,5.1,743.6,744.4,90.0,6.0,15.0,20.0,3.6,243.38,513.0800000000003,0.47435097840492685
2015-01-02 16:00:00,5.0,745.0,745.9,90.0,6.0,11.0,20.0,3.4,270.45,513.0800000000003,0.5271107819443359
2015-01-02 17:00:00,5.2,745.7,746.6,85.0,10.0,11.0,18.0,2.9,251.95,513.0800000000003,0.49105402666250847
2015-01-02 18:00:00,5.1,746.5,747.4,88.0,10.0,11.0,20.0,3.2,239.36,513.0800000000003,0.46651594293287574
2015-01-02 19:00:00,4.3,747.4,748.2,92.0,6.0,11.0,20.0,3.1,251.1,513.0800000000003,0.48939736493334346
2015-01-02 20:00:00,5.2,747.8,748.7,86.0,10.0,9.0,14.0,3.1,221.74,513.0800000000003,0.4321743197941839
2015-01-02 21:00:00,5.1,748.2,749.0,88.0,10.0,11.0,16.0,3.2,218.18,513.0800000000003,0.42523583066968096
2015-01-02 22:00:00,5.0,748.6,749.5,85.0,10.0,12.0,17.0,2.6,180.84,513.0800000000003,0.35245965541436014
2015-01-02 23:00:00,4.2,748.9,749.8,91.0,8.0,11.0,17.0,2.9,152.0,513.0800000000003,0.2962500974506898
2015-01-03 00:00:00,7.3,749.9,750.8,88.0,11.0,14.0,19.0,5.5,152.65,513.0800000000003,0.2975169564200513
2015-01-03 01:00:00,7.0,749.3,750.1,94.0,11.0,13.0,22.0,6.1,122.92,513.0800000000003,0.2395727761752552
2015-01-03 02:00:00,7.3,748.4,749.3,95.0,11.0,12.0,17.0,6.5,105.25,513.0800000000003,0.20513370234661252
2015-01-03 03:00:00,7.6,747.7,748.6,96.0,11.0,11.0,17.0,7.0,140.07,513.0800000000003,0.27299836282840867
2015-01-03 04:00:00,8.4,747.6,748.4,97.0,15.0,11.0,17.0,7.9,148.03,513.0800000000003,0.28851251266858957
2015-01-03 05:00:00,8.8,748.4,749.2,96.0,13.0,9.0,14.0,8.2,224.96,513.0800000000003,0.4384501442270209
2015-01-03 06:00:00,8.8,748.7,749.6,89.0,13.0,10.0,16.0,7.0,223.89,513.0800000000003,0.43636469946207196
2015-01-03 07:00:00,8.5,748.9,749.8,86.0,13.0,10.0,17.0,6.2,198.15,513.0800000000003,0.3861970842753565
2015-01-03 08:00:00,8.3,749.8,750.6,84.0,13.0,10.0,16.0,5.7,157.94,513.0800000000003,0.3078272394168549
2015-01-03 09:00:00,8.0,750.4,751.3,85.0,5.0,11.0,17.0,5.6,167.7,513.0800000000003,0.3268496140952676
2015-01-03 10:00:00,8.6,750.8,751.6,81.0,5.0,10.0,17.0,5.5,91.44,513.0800000000003,0.17821782178217813
2015-01-03 11:00:00,8.5,751.0,751.8,78.0,5.0,10.0,15.0,4.9,48.48,513.0800000000003,0.0944881889763779
2015-01-03 12:00:00,9.3,751.2,752.1,75.0,5.0,10.0,16.0,5.0,16.94,513.0800000000003,0.03301629375535977
2015-01-03 13:00:00,9.5,751.3,752.2,71.0,5.0,10.0,17.0,4.4,27.86,513.0800000000003,0.05429952444063301
2015-01-03 14:00:00,8.9,751.4,752.3,72.0,5.0,10.0,17.0,4.1,19.1,513.0800000000003,0.037226163561238
2015-01-03 15:00:00,9.2,751.1,751.9,70.0,5.0,11.0,16.0,3.9,12.3,513.0800000000003,0.02397286972791766
2015-01-03 16:00:00,9.3,750.7,751.6,71.0,13.0,9.0,17.0,4.3,51.62,513.0800000000003,0.10060809230529347
2015-01-03 17:00:00,8.7,750.7,751.6,75.0,13.0,8.0,14.0,4.4,88.55,513.0800000000003,0.17258517190301698
2015-01-03 18:00:00,8.5,750.2,751.0,73.0,13.0,7.0,15.0,3.8,8.88,513.0800000000003,0.017307242535277143
2015-01-03 19:00:00,8.0,749.8,750.7,75.0,15.0,8.0,17.0,3.7,19.37,513.0800000000003,0.03775239728697277
2015-01-03 20:00:00,7.9,749.1,750.0,78.0,11.0,6.0,10.0,4.3,48.61,513.0800000000003,0.0947415607702502
2015-01-03 21:00:00,8.5,747.8,748.7,78.0,15.0,9.0,13.0,4.8,21.2,513.0800000000003,0.04131909253917516
2015-01-03 22:00:00,7.9,747.1,748.0,84.0,15.0,10.0,16.0,5.4,30.29,513.0800000000003,0.05903562797224601
2015-01-03 23:00:00,7.8,747.6,748.4,84.0,5.0,12.0,17.0,5.3,37.37,513.0800000000003,0.07283464566929129
2015-01-04 00:00:00,7.2,759.6,760.5,66.0,3.0,13.0,19.0,1.2,85.53,513.0800000000003,0.16669915022998355
2015-01-04 01:00:00,7.1,760.1,760.9,65.0,3.0,13.0,21.0,0.8,104.18,513.0800000000003,0.2030482575816636
2015-01-04 02:00:00,6.8,760.5,761.4,62.0,3.0,13.0,21.0,0.0,97.74,513.0800000000003,0.1904966087159896
2015-01-04 03:00:00,6.7,760.9,761.8,64.0,4.0,13.0,19.0,0.3,87.56,513.0800000000003,0.17065564824198948
2015-01-04 04:00:00,6.5,761.2,762.1,63.0,3.0,13.0,20.0,-0.1,75.36,513.0800000000003,0.14687767989397357
2015-01-04 05:00:00,6.4,761.7,762.6,63.0,4.0,11.0,21.0,-0.2,104.85,513.0800000000003,0.20435409682700542
2015-01-04 06:00:00,6.4,762.3,763.1,61.0,4.0,11.0,18.0,-0.6,80.44,513.0800000000003,0.15677866999298345
2015-01-04 07:00:00,6.1,762.7,763.6,65.0,4.0,10.0,18.0,0.0,58.22,513.0800000000003,0.11347158337881026
2015-01-04 08:00:00,6.2,763.5,764.4,66.0,4.0,11.0,21.0,0.3,67.5,513.0800000000003,0.13155843143369447
2015-01-04 09:00:00,6.3,764.1,764.9,66.0,4.0,9.0,16.0,0.3,72.48,513.0800000000003,0.1412645201528026
2015-01-04 10:00:00,6.9,764.7,765.6,64.0,4.0,10.0,16.0,0.4,74.38,513.0800000000003,0.14496764637093623
2015-01-04 11:00:00,7.7,765.2,766.1,63.0,4.0,10.0,17.0,1.1,57.77,513.0800000000003,0.1125945271692523
2015-01-04 12:00:00,8.1,765.5,766.4,59.0,3.0,11.0,17.0,0.4,46.03,513.0800000000003,0.08971310516878456
2015-01-04 13:00:00,8.8,766.0,766.8,57.0,3.0,13.0,17.0,0.7,41.89,513.0800000000003,0.08164418804085129
2015-01-04 14:00:00,9.3,766.0,766.9,58.0,3.0,13.0,18.0,1.4,32.3,513.0800000000003,0.06295314570827158
2015-01-04 15:00:00,9.9,766.0,766.9,56.0,3.0,13.0,18.0,1.5,34.24,513.0800000000003,0.06673423247836592
2015-01-04 16:00:00,10.0,765.7,766.6,55.0,3.0,11.0,16.0,1.4,32.2,513.0800000000003,0.06275824432836982
2015-01-04 17:00:00,9.9,765.5,766.4,57.0,3.0,10.0,18.0,1.8,46.78,513.0800000000003,0.09117486551804782
2015-01-04 18:00:00,9.9,765.2,766.1,58.0,3.0,8.0,13.0,2.0,71.26,513.0800000000003,0.13888672331800103
2015-01-04 19:00:00,9.0,764.8,765.7,75.0,5.0,9.0,13.0,4.8,52.48,513.0800000000003,0.10228424417244868
2015-01-04 20:00:00,8.8,764.4,765.3,76.0,5.0,9.0,18.0,4.7,52.39,513.0800000000003,0.1021088329305371
2015-01-04 21:00:00,8.4,764.4,765.2,79.0,5.0,9.0,14.0,5.0,68.5,513.0800000000003,0.13350744523271219
2015-01-04 22:00:00,8.3,764.1,764.9,80.0,5.0,9.0,15.0,5.0,83.58,513.0800000000003,0.16289857332189903
2015-01-04 23:00:00,7.9,763.6,764.5,80.0,5.0,9.0,16.0,4.6,90.82,513.0800000000003,0.17700943322678714
2015-01-05 00:00:00,10.0,757.9,758.7,81.0,6.0,6.0,7.0,6.9,113.61,513.0800000000003,0.22142745770640043
2015-01-05 01:00:00,9.5,757.9,758.7,73.0,6.0,7.0,9.0,4.8,137.14,513.0800000000003,0.2672877523972868
2015-01-05 02:00:00,9.2,757.6,758.5,74.0,6.0,6.0,9.0,4.8,125.15,513.0800000000003,0.24391907694706466
2015-01-05 03:00:00,8.5,757.5,758.4,80.0,6.0,7.0,8.0,5.2,143.93,513.0800000000003,0.280521556092617
2015-01-05 04:00:00,8.5,757.2,758.1,78.0,6.0,7.0,9.0,4.9,156.88,513.0800000000003,0.30576128478989617
2015-01-05 05:00:00,8.5,757.0,757.8,78.0,9.0,7.0,9.0,4.9,150.77,513.0800000000003,0.2938528104778981
2015-01-05 06:00:00,8.3,756.7,757.6,78.0,9.0,7.0,8.0,4.6,107.41,513.0800000000003,0.20934357215249072
2015-01-05 07:00:00,8.3,756.4,757.3,77.0,9.0,7.0,10.0,4.4,94.5,513.0800000000003,0.18418180400717227
2015-01-05 08:00:00,8.5,756.5,757.4,73.0,9.0,7.0,10.0,3.8,111.34,513.0800000000003,0.21700319638263027
2015-01-05 09:00:00,8.7,756.5,757.4,71.0,7.0,6.0,10.0,3.6,112.87,513.0800000000003,0.21998518749512735
2015-01-05 10:00:00,9.0,756.6,757.5,68.0,7.0,5.0,9.0,3.3,130.08,513.0800000000003,0.2535277149762219
2015-01-05 11:00:00,9.5,756.5,757.3,66.0,7.0,5.0,10.0,3.5,133.15,513.0800000000003,0.25951118733920625
2015-01-05 12:00:00,9.9,756.5,757.3,70.0,9.0,7.0,9.0,4.6,94.15,513.0800000000003,0.1834996491775161
2015-01-05 13:00:00,9.8,756.4,757.3,72.0,9.0,8.0,10.0,4.9,68.96,513.0800000000003,0.1344039915802603
2015-01-05 14:00:00,9.7,756.1,757.0,69.0,9.0,9.0,10.0,4.3,56.03,513.0800000000003,0.10920324315896152
2015-01-05 15:00:00,9.9,756.1,757.0,72.0,9.0,9.0,12.0,5.0,53.81,513.0800000000003,0.10487643252514223
2015-01-05 16:00:00,9.7,755.9,756.8,70.0,9.0,9.0,11.0,4.4,61.02,513.0800000000003,0.11892882201605982
2015-01-05 17:00:00,9.6,755.8,756.7,69.0,9.0,10.0,12.0,4.1,64.82,513.0800000000003,0.12633507445232706
2015-01-05 18:00:00,9.5,755.8,756.7,71.0,9.0,10.0,12.0,4.5,65.52,513.0800000000003,0.12769938411163945
2015-01-05 19:00:00,9.4,755.6,756.5,71.0,9.0,10.0,12.0,4.3,70.85,513.0800000000003,0.13808762766040375
2015-01-05 20:00:00,9.1,755.9,756.7,73.0,9.0,10.0,13.0,4.4,71.64,513.0800000000003,0.13962734856162776
2015-01-05 21:00:00,9.1,756.4,757.3,73.0,9.0,10.0,12.0,4.4,71.6,513.0800000000003,0.139549388009667
2015-01-05 22:00:00,9.1,756.7,757.5,74.0,9.0,9.0,12.0,4.6,51.88,513.0800000000003,0.10111483589303807
2015-01-05 23:00:00,8.9,756.7,757.6,73.0,9.0,9.0,12.0,4.3,36.81,513.0800000000003,0.07174319794184139
2015-01-06 00:00:00,12.0,757.9,758.8,84.0,4.0,5.0,10.0,9.4,39.04,513.0800000000003,0.07608949871365085
2015-01-06 10:00:00,11.6,761.7,762.6,80.0,15.0,5.0,7.0,8.2,116.68,513.0800000000003,0.2274109300693848
2015-01-06 12:00:00,13.8,761.9,762.7,59.0,5.0,6.0,9.0,5.9,97.98,513.0800000000003,0.19096437202775388
2015-01-06 13:00:00,14.0,761.8,762.6,54.0,3.0,5.0,9.0,4.7,81.77,513.0800000000003,0.159370858345677
2015-01-06 14:00:00,14.3,761.7,762.6,57.0,3.0,6.0,9.0,5.7,57.31,513.0800000000003,0.11169798082170417
2015-01-06 15:00:00,14.7,761.6,762.4,58.0,3.0,6.0,8.0,6.5,53.26,513.0800000000003,0.10380447493568248
2015-01-06 16:00:00,14.3,761.2,762.1,60.0,3.0,5.0,7.0,6.6,76.04,513.0800000000003,0.14820300927730562
2015-01-06 17:00:00,14.3,761.1,762.0,59.0,3.0,4.0,8.0,6.3,129.14,513.0800000000003,0.2516956420051452
2015-01-06 18:00:00,14.9,760.4,761.2,60.0,3.0,3.0,7.0,7.2,138.01,513.0800000000003,0.2689833944024322
2015-01-06 19:00:00,15.4,759.9,760.8,48.0,15.0,6.0,10.0,4.3,170.54,513.0800000000003,0.3323848132844779
2015-01-06 20:00:00,14.8,759.4,760.3,61.0,5.0,4.0,10.0,7.2,194.88,513.0800000000003,0.3798238091525686
2015-01-06 21:00:00,14.3,759.0,759.9,60.0,15.0,4.0,8.0,6.6,189.87,513.0800000000003,0.37005925001948997
2015-01-06 22:00:00,13.9,758.5,759.3,64.0,11.0,4.0,6.0,7.1,152.12,513.0800000000003,0.2964839791065719
2015-01-06 23:00:00,14.3,757.9,758.7,60.0,11.0,6.0,8.0,6.5,120.06,513.0800000000003,0.2339985967100646
2015-01-07 00:00:00,21.4,762.0,762.8,72.0,0.0,4.0,7.0,16.1,70.73,513.0800000000003,0.13785374600452166
2015-01-07 01:00:00,21.8,761.8,762.7,56.0,0.0,5.0,7.0,12.6,46.48,513.0800000000003,0.0905901613783425
2015-01-07 02:00:00,21.3,761.9,762.7,58.0,0.0,5.0,9.0,12.7,54.35,513.0800000000003,0.10592889997661178
2015-01-07 03:00:00,20.8,761.7,762.5,62.0,0.0,5.0,7.0,13.1,70.05,513.0800000000003,0.1365284166211896
2015-01-07 04:00:00,20.4,761.3,762.1,62.0,2.0,5.0,7.0,12.9,70.75,513.0800000000003,0.137892726280502
2015-01-07 05:00:00,19.7,761.1,761.9,65.0,12.0,7.0,9.0,13.0,62.42,513.0800000000003,0.12165744133468459
2015-01-07 06:00:00,18.9,761.3,762.1,69.0,12.0,6.0,9.0,13.0,61.2,513.0800000000003,0.119279644499883
2015-01-07 07:00:00,19.0,761.1,761.9,70.0,12.0,5.0,8.0,13.3,66.51,513.0800000000003,0.12962890777266697
2015-01-07 08:00:00,19.9,760.9,761.8,67.0,12.0,6.0,9.0,13.5,83.59,513.0800000000003,0.1629180634598892
2015-01-07 09:00:00,21.4,760.9,761.8,63.0,12.0,5.0,8.0,14.0,126.88,513.0800000000003,0.24729087081936527
2015-01-07 10:00:00,22.9,761.0,761.8,60.0,12.0,5.0,7.0,14.8,145.27,513.0800000000003,0.2831332345833007
2015-01-07 12:00:00,26.8,760.3,761.1,51.0,2.0,6.0,7.0,15.8,124.23,513.0800000000003,0.24212598425196838
2015-01-07 13:00:00,27.9,760.1,760.9,46.0,2.0,6.0,8.0,15.2,105.07,513.0800000000003,0.2047828798627893
2015-01-07 14:00:00,28.5,759.8,760.6,40.0,2.0,7.0,10.0,13.5,110.92,513.0800000000003,0.21618461058704286
2015-01-07 15:00:00,30.1,759.4,760.2,37.0,12.0,7.0,10.0,13.8,139.13,513.0800000000003,0.27116628985733204
2015-01-07 16:00:00,31.1,759.5,760.3,36.0,14.0,7.0,11.0,14.2,167.11,513.0800000000003,0.32569969595384723
2015-01-07 17:00:00,31.0,759.3,760.0,40.0,12.0,5.0,11.0,15.8,193.44,513.0800000000003,0.3770172292819831
2015-01-07 18:00:00,31.0,758.8,759.6,40.0,12.0,7.0,10.0,15.7,229.92,513.0800000000003,0.4481172526701486
2015-01-07 19:00:00,31.1,758.5,759.2,40.0,12.0,7.0,10.0,15.9,269.51,513.0800000000003,0.5252787089732592
2015-01-07 20:00:00,30.9,758.6,759.4,40.0,12.0,6.0,11.0,15.6,269.84,513.0800000000003,0.525921883526935
2015-01-07 21:00:00,31.1,759.0,759.7,40.0,12.0,4.0,7.0,16.0,262.61,513.0800000000003,0.5118305137600372
2015-01-07 22:00:00,30.2,758.9,759.7,42.0,2.0,4.0,6.0,15.8,285.21,513.0800000000003,0.5558782256178371
2015-01-07 23:00:00,28.4,759.1,759.9,47.0,2.0,4.0,7.0,16.1,326.03,513.0800000000003,0.6354369688937394
2015-01-08 00:00:00,16.1,761.6,762.4,63.0,0.0,4.0,5.0,9.1,342.94,513.0800000000003,0.6683947922351287
2015-01-08 01:00:00,16.3,761.4,762.2,63.0,0.0,4.0,5.0,9.2,333.75,513.0800000000003,0.6504833554221561
2015-01-08 02:00:00,15.3,761.5,762.3,65.0,12.0,3.0,7.0,8.7,358.96,513.0800000000003,0.6996179932953921
2015-01-08 03:00:00,15.4,761.2,762.0,66.0,12.0,4.0,5.0,9.0,350.37,513.0800000000003,0.6828759647618302
2015-01-08 04:00:00,14.7,760.9,761.8,67.0,12.0,4.0,7.0,8.6,356.36,513.0800000000003,0.6945505574179461
2015-01-08 05:00:00,14.7,760.7,761.5,70.0,12.0,4.0,7.0,9.2,323.16,513.0800000000003,0.6298432992905587
2015-01-08 06:00:00,14.6,760.4,761.3,69.0,12.0,4.0,5.0,8.9,330.64,513.0800000000003,0.644421922507211
2015-01-08 07:00:00,14.3,760.7,761.5,68.0,14.0,4.0,6.0,8.5,336.96,513.0800000000003,0.6567396897170028
2015-01-08 08:00:00,14.4,760.8,761.7,67.0,14.0,3.0,7.0,8.3,335.68,513.0800000000003,0.6542449520542603
2015-01-08 09:00:00,15.4,761.0,761.9,65.0,12.0,3.0,4.0,8.8,331.35,513.0800000000003,0.6458057223045136
2015-01-08 10:00:00,16.8,761.2,762.1,60.0,14.0,2.0,3.0,9.0,352.82,513.0800000000003,0.6876510485694235
2015-01-08 11:00:00,18.6,761.4,762.3,57.0,14.0,2.0,4.0,9.8,371.42,513.0800000000003,0.7239027052311527
2015-01-08 12:00:00,19.6,761.5,762.4,60.0,10.0,4.0,5.0,11.5,370.92,513.0800000000003,0.7229281983316438
2015-01-08 13:00:00,19.7,761.5,762.4,59.0,8.0,5.0,8.0,11.4,357.76,513.0800000000003,0.6972791767365709
2015-01-08 14:00:00,19.5,761.5,762.4,57.0,8.0,4.0,8.0,10.7,370.33,513.0800000000003,0.7217782801902234
2015-01-08 15:00:00,19.8,761.5,762.4,57.0,10.0,4.0,6.0,11.1,339.51,513.0800000000003,0.661709674904498
2015-01-08 16:00:00,20.5,761.7,762.5,56.0,8.0,4.0,5.0,11.5,336.89,513.0800000000003,0.6566032587510716
2015-01-08 17:00:00,19.2,761.8,762.7,59.0,6.0,2.0,6.0,10.9,213.87,513.0800000000003,0.4168355811959147
2015-01-08 18:00:00,18.8,761.8,762.7,60.0,6.0,2.0,3.0,10.8,213.35,513.0800000000003,0.4158220940204254
2015-01-08 19:00:00,18.8,761.9,762.7,63.0,6.0,2.0,3.0,11.5,233.49,513.0800000000003,0.4550752319326419
2015-01-08 20:00:00,19.7,762.1,763.0,51.0,4.0,3.0,6.0,9.2,243.27,513.0800000000003,0.4741365868870349
2015-01-08 21:00:00,18.6,762.1,763.0,56.0,3.0,2.0,5.0,9.5,283.23,513.0800000000003,0.5520191782957821
2015-01-08 22:00:00,17.8,762.7,763.6,58.0,5.0,2.0,3.0,9.5,307.09,513.0800000000003,0.5985226475403442
2015-01-08 23:00:00,17.5,762.9,763.7,65.0,5.0,3.0,5.0,10.7,293.02,513.0800000000003,0.5711000233881652
2015-01-09 00:00:00,17.5,757.7,758.6,91.0,10.0,8.0,11.0,16.0,300.52,513.0800000000003,0.585717626880798
2015-01-09 01:00:00,17.2,758.1,758.9,92.0,10.0,9.0,11.0,15.8,350.07,513.0800000000003,0.6822912606221249
2015-01-09 02:00:00,17.4,758.3,759.1,90.0,6.0,9.0,11.0,15.8,394.32,513.0800000000003,0.7685351212286579
2015-01-09 03:00:00,17.6,758.3,759.1,88.0,6.0,9.0,10.0,15.6,411.25,513.0800000000003,0.8015319248460275
2015-01-09 04:00:00,17.3,758.2,759.1,88.0,6.0,8.0,11.0,15.3,398.13,513.0800000000003,0.7759608638029153
2015-01-09 05:00:00,17.3,758.4,759.2,89.0,6.0,9.0,11.0,15.5,447.9,513.0800000000003,0.872963280580026
2015-01-09 06:00:00,17.1,758.2,759.0,89.0,6.0,9.0,11.0,15.2,455.39,513.0800000000003,0.8875613939346686
2015-01-09 07:00:00,17.2,758.5,759.3,87.0,6.0,8.0,10.0,15.0,450.83,513.0800000000003,0.8786738910111479
2015-01-09 08:00:00,17.1,758.7,759.5,85.0,6.0,7.0,11.0,14.5,456.63,513.0800000000003,0.8899781710454505
2015-01-09 09:00:00,17.2,758.8,759.7,84.0,6.0,8.0,10.0,14.5,455.76,513.0800000000003,0.8882825290403051
2015-01-09 10:00:00,16.8,758.9,759.7,84.0,6.0,10.0,12.0,14.0,447.33,513.0800000000003,0.8718523427145859
2015-01-09 11:00:00,16.9,759.7,760.5,84.0,6.0,7.0,13.0,14.2,437.42,513.0800000000003,0.8525376159663206
2015-01-09 12:00:00,17.1,760.1,760.9,84.0,6.0,10.0,12.0,14.4,425.11,513.0800000000003,0.8285452561004127
2015-01-09 13:00:00,17.7,760.6,761.5,82.0,10.0,10.0,13.0,14.5,424.94,513.0800000000003,0.8282139237545797
2015-01-09 14:00:00,17.7,761.0,761.9,74.0,10.0,10.0,13.0,12.9,419.14,513.0800000000003,0.8169096437202771
2015-01-09 15:00:00,18.3,761.6,762.4,68.0,10.0,8.0,11.0,12.2,405.59,513.0800000000003,0.7905005067435873
2015-01-09 16:00:00,18.3,761.9,762.7,69.0,10.0,7.0,10.0,12.4,421.98,513.0800000000003,0.8224448429094874
2015-01-09 17:00:00,18.2,762.1,763.0,66.0,10.0,6.0,11.0,11.8,429.02,513.0800000000003,0.8361659000545719
2015-01-09 18:00:00,18.1,762.2,763.1,68.0,8.0,5.0,8.0,12.0,436.07,513.0800000000003,0.8499064473376466
2015-01-09 19:00:00,17.1,762.3,763.1,71.0,10.0,5.0,7.0,11.8,453.73,513.0800000000003,0.8843260310282992
2015-01-09 20:00:00,16.8,762.5,763.3,73.0,10.0,5.0,11.0,11.8,461.65,513.0800000000003,0.8997622203165193
2015-01-09 21:00:00,16.1,762.7,763.6,76.0,10.0,6.0,8.0,11.8,455.23,513.0800000000003,0.8872495517268258
2015-01-09 22:00:00,15.9,763.0,763.9,78.0,10.0,3.0,7.0,12.0,442.44,513.0800000000003,0.8623216652373894
2015-01-09 23:00:00,15.4,763.0,763.9,77.0,8.0,3.0,8.0,11.4,449.44,513.0800000000003,0.8759647618305133
2015-01-10 00:00:00,14.2,773.3,774.2,68.0,1.0,9.0,12.0,8.4,444.09,513.0800000000003,0.8655375380057686
2015-01-10 01:00:00,13.6,773.2,774.1,68.0,1.0,9.0,12.0,7.7,449.7,513.0800000000003,0.8764715054182579
2015-01-10 02:00:00,13.3,773.2,774.1,69.0,1.0,8.0,12.0,7.7,431.7,513.0800000000003,0.8413892570359394
2015-01-10 03:00:00,12.5,772.9,773.8,72.0,1.0,6.0,11.0,7.5,434.71,513.0800000000003,0.8472557885709826
2015-01-10 04:00:00,12.8,772.8,773.6,74.0,1.0,7.0,10.0,8.2,430.22,513.0800000000003,0.8385047166133932
2015-01-10 05:00:00,12.7,772.4,773.3,75.0,1.0,7.0,11.0,8.4,420.82,513.0800000000003,0.8201839869026268
2015-01-10 06:00:00,12.1,772.4,773.3,77.0,1.0,7.0,10.0,8.2,433.54,513.0800000000003,0.844975442426132
2015-01-10 07:00:00,12.1,772.3,773.2,77.0,1.0,8.0,11.0,8.1,438.38,513.0800000000003,0.8544086692133775
2015-01-10 08:00:00,12.0,772.6,773.5,78.0,1.0,7.0,11.0,8.3,428.66,513.0800000000003,0.8354642550869257
2015-01-10 09:00:00,11.8,772.5,773.4,78.0,0.0,8.0,10.0,8.0,422.16,513.0800000000003,0.8227956653933106
2015-01-10 10:00:00,12.2,772.9,773.8,77.0,1.0,7.0,9.0,8.2,430.22,513.0800000000003,0.8385047166133932
2015-01-10 11:00:00,13.2,772.9,773.8,73.0,1.0,6.0,10.0,8.4,424.03,513.0800000000003,0.8264403211974736
2015-01-10 12:00:00,14.4,772.9,773.7,67.0,7.0,6.0,8.0,8.2,429.73,513.0800000000003,0.8375496998518746
2015-01-10 13:00:00,15.5,772.6,773.4,64.0,7.0,6.0,9.0,8.7,436.17,513.0800000000003,0.8501013487175485
2015-01-10 14:00:00,15.8,772.0,772.9,58.0,7.0,7.0,10.0,7.6,426.87,513.0800000000003,0.8319755203866839
2015-01-10 15:00:00,16.1,771.4,772.2,56.0,7.0,8.0,11.0,7.3,424.41,513.0800000000003,0.8271809464411004
2015-01-10 16:00:00,15.9,771.1,772.0,56.0,7.0,8.0,11.0,7.1,398.53,513.0800000000003,0.7767404693225224
2015-01-10 17:00:00,16.0,770.7,771.5,57.0,7.0,9.0,12.0,7.3,367.57,513.0800000000003,0.7163990021049346
2015-01-10 18:00:00,16.0,770.5,771.3,62.0,7.0,7.0,11.0,8.6,302.01,513.0800000000003,0.5886216574413343
2015-01-10 19:00:00,15.8,770.2,771.1,58.0,7.0,8.0,12.0,7.5,296.17,513.0800000000003,0.5772394168550711
2015-01-10 20:00:00,15.5,770.5,771.4,62.0,1.0,8.0,12.0,8.1,250.07,513.0800000000003,0.4873898807203552
2015-01-10 21:00:00,14.8,770.7,771.6,64.0,1.0,7.0,11.0,8.1,241.16,513.0800000000003,0.47002416777110756
2015-01-10 22:00:00,14.2,770.8,771.7,64.0,1.0,6.0,10.0,7.5,208.31,513.0800000000003,0.40599906447337625
2015-01-10 23:00:00,13.7,771.0,771.8,66.0,0.0,6.0,11.0,7.5,208.42,513.0800000000003,0.4062134559912682
2015-01-11 00:00:00,11.4,769.4,770.3,87.0,11.0,3.0,6.0,9.3,201.0,513.0800000000003,0.3917517736025569
2015-01-11 01:00:00,10.9,769.7,770.6,88.0,11.0,3.0,7.0,9.0,253.56,513.0800000000003,0.494191938878927
2015-01-11 02:00:00,10.4,770.0,770.8,90.0,15.0,4.0,6.0,8.8,257.79,513.0800000000003,0.5024362672487719
2015-01-11 03:00:00,10.2,770.2,771.1,90.0,11.0,4.0,5.0,8.6,273.86,513.0800000000003,0.5337569189989863
