iter	RMSE
225	0.175936649
226	0.1759356118
227	0.1759348581
228	0.1759346875
229	0.1759342141
230	0.175933842
231	0.1759330312
232	0.175932724
233	0.1759326572
234	0.1759315143
235	0.1759305201
236	0.1759288407
237	0.1759283694
238	0.1759262096
239	0.1759249016
240	0.1759244499
241	0.1759243284
242	0.1759240978
243	0.1759234324
244	0.1759231421
245	0.175922545
246	0.1759221806
247	0.1759219464
248	0.1759206088
249	0.175920492
250	0.1759192354
251	0.175919024
252	0.175918891
253	0.1759184382
254	0.1759181287
255	0.1759169535
256	0.1759162389
257	0.1759157882
258	0.175915638
259	0.1759144542
260	0.1759132506
261	0.1759130354
262	0.1759130269
263	0.175912892
264	0.175912798
265	0.175912338
266	0.1759118227
267	0.1759113507
268	0.1759106857
269	0.1759105613
270	0.1759104261
271	0.1759097823
272	0.1759096756
273	0.1759096648
274	0.1759095825
275	0.1759092464
276	0.1759088008
277	0.1759087323
278	0.1759083784
279	0.1759082986
280	0.1759082817
281	0.1759072674
282	0.1759069304
283	0.1759068784
284	0.1759063689
285	0.1759059585
286	0.1759059479
287	0.1759058443
288	0.175905718
289	0.1759054436
290	0.1759048548
291	0.1759046261
292	0.1759045368
293	0.1759031977
294	0.1759031086
295	0.1759022582
296	0.1759021769
297	0.1759017492
298	0.175900889
299	0.1759007321
300	0.1758984676
301	0.1758982069
302	0.175897245
303	0.1758963826
304	0.1758954933
305	0.1758951944
306	0.1758938722
307	0.1758930758
308	0.1758927855
309	0.1758927169
310	0.1758922841
311	0.1758921046
312	0.1758920428
313	0.175891815
314	0.1758895275
315	0.1758894013
316	0.1758893477
317	0.1758893354
318	0.1758881544
319	0.1758877991
320	0.175887418
321	0.1758865135
322	0.17588525
323	0.1758852119
324	0.1758830697
325	0.1758828042
326	0.1758807092
327	0.1758806857
328	0.1758806831
329	0.1758805607
330	0.175880152
331	0.1758798115
332	0.1758795865
333	0.175878289
334	0.1758778618
335	0.1758776679
336	0.1758771832
337	0.1758764274
338	0.1758762094
339	0.1758759626
340	0.1758755608
341	0.1758755422
342	0.1758750757
343	0.1758749625
344	0.1758745586
345	0.1758737829
346	0.1758736067
347	0.1758735201
348	0.1758727918
349	0.1758725781
350	0.1758723219
351	0.1758716649
352	0.1758703371
353	0.1758699889
354	0.1758699685
355	0.1758694297
356	0.175868938
357	0.1758686943
358	0.1758669862
359	0.1758659786
360	0.17586587
361	0.1758649418
362	0.1758642284
363	0.1758637863
364	0.1758620852
365	0.175861203
366	0.1758600506
367	0.1758599131
368	0.1758596833
369	0.1758596757
370	0.1758592685
371	0.1758574136
372	0.1758567128
373	0.1758566829
374	0.1758566627
375	0.1758565268
376	0.175856285
377	0.1758558489
378	0.1758557785
379	0.1758557561
380	0.1758556118
381	0.1758556053
382	0.1758555191
383	0.1758555016
384	0.1758554346
385	0.1758552593
386	0.1758552435
387	0.1758551417
388	0.1758551368
389	0.1758551322
390	0.1758548417
391	0.1758548275
392	0.1758547927
393	0.1758547786
394	0.1758543064
395	0.1758542879
396	0.175853754
397	0.1758533225
398	0.1758508819
399	0.1758508645
400	0.1758508481
401	0.1758508383
402	0.1758500342
403	0.1758484566
404	0.1758472084
405	0.1758471313
406	0.1758469682
407	0.1758469599
408	0.1758458191
409	0.1758458003
410	0.1758451784
411	0.1758451704
412	0.1758450481
413	0.1758449228
414	0.1758448151
415	0.1758441518
416	0.1758441269
417	0.1758430137
418	0.1758425974
419	0.1758422257
420	0.175841475
421	0.1758408819
422	0.1758407328
423	0.1758406876
424	0.1758406631
425	0.1758405943
426	0.1758405853
427	0.1758392941
428	0.175839282
429	0.1758386332
430	0.1758381758
431	0.1758377853
432	0.1758377082
433	0.1758363418
434	0.1758361753
435	0.1758361704
436	0.1758343574
437	0.1758335119
438	0.1758333064
439	0.1758332051
440	0.1758331687
441	0.1758329611
442	0.1758328571
443	0.1758328457
444	0.1758327829
445	0.1758313073
446	0.1758307216
447	0.175830234
448	0.1758302229
449	0.1758302168
450	0.1758302068
451	0.1758299337
452	0.1758285612
453	0.1758282322
454	0.1758269928
455	0.1758269677
456	0.175826963
457	0.1758263796
458	0.1758262593
459	0.1758259421
460	0.1758258871
461	0.1758258764
462	0.1758257505
463	0.1758257487
464	0.1758257415
465	0.175825339
466	0.1758252566
467	0.1758252328
468	0.1758252239
469	0.1758252156
470	0.1758252077
471	0.17582264
472	0.1758224229
473	0.1758218999
474	0.1758218922
475	0.1758218922
476	0.175821686
477	0.1758212627
478	0.1758212388
479	0.1758212299
480	0.1758210218
481	0.1758209728
482	0.1758203398
483	0.1758203065
484	0.1758199975
485	0.175819982
486	0.1758196529
487	0.1758195229
488	0.1758193809
489	0.1758190868
490	0.1758190797
491	0.1758189137
492	0.1758188706
493	0.1758188614
494	0.1758186624
495	0.1758175271
496	0.1758170992
497	0.1758170705
498	0.1758164666
499	0.1758153372
500	0.1758143576
501	0.1758143514
502	0.1758125419
503	0.1758122175
504	0.1758121649
505	0.1758121594
506	0.1758121151
507	0.1758120422
508	0.1758115267
509	0.175811509
510	0.1758114505
511	0.1758114274
512	0.1758105841
513	0.1758103284
514	0.1758102626
515	0.1758102283
516	0.1758102263
517	0.1758102176
518	0.1758096673
519	0.1758096354
520	0.175809576
521	0.1758095477
522	0.1758092865
523	0.1758092322
524	0.175807999
525	0.1758079871
526	0.1758065715
527	0.1758065126
528	0.1758063206
529	0.1758062033
530	0.1758060992
531	0.1758049617
532	0.1758049516
533	0.1758047318
534	0.1758046735
535	0.1758036489
536	0.1758033585
537	0.175803339
538	0.1758033336
539	0.1758033205
540	0.1758031051
541	0.1758030808
542	0.1758029796
543	0.1758029718
544	0.1758028926
545	0.175802867
546	0.1758018557
547	0.1758018513
548	0.1758017882
549	0.1758004779
550	0.1758002806
551	0.1757983058
552	0.1757969545
553	0.1757967471
554	0.1757966833
555	0.175796609
556	0.1757965967
557	0.1757960377
558	0.1757954782
559	0.1757954729
560	0.1757954683
561	0.1757954553
562	0.1757954434
563	0.1757954422
564	0.1757954338
565	0.17579543
566	0.1757951075
567	0.1757948177
568	0.1757937776
569	0.1757936508
570	0.17579361
571	0.1757935008
572	0.175793494
573	0.1757934457
574	0.175793102
575	0.1757930921
576	0.1757921883
577	0.175792106
578	0.1757921048
579	0.1757917283
580	0.1757917272
581	0.1757917069
582	0.1757916841
583	0.1757916589
584	0.1757911007
585	0.1757909255
586	0.1757906217
587	0.1757906082
588	0.1757904776
589	0.1757904762
590	0.1757904644
591	0.1757903409
592	0.1757889468
593	0.1757886402
594	0.1757885161
595	0.1757885151
596	0.1757875986
597	0.1757867391
598	0.1757867382
599	0.1757866795
600	0.1757862447
601	0.1757853298
602	0.1757853083
603	0.1757843508
604	0.1757832215
605	0.1757823321
606	0.1757813705
607	0.1757811932
608	0.1757810104
609	0.1757810076
610	0.1757805649
611	0.1757804824
612	0.1757803889
613	0.1757803535
614	0.1757800259
615	0.1757799577
616	0.1757797453
617	0.1757795349
618	0.1757783888
619	0.1757783752
620	0.1757783588
621	0.17577835
622	0.1757783416
623	0.175778259
624	0.1757782472
625	0.1757776189
626	0.1757770748
627	0.1757770295
628	0.1757770287
629	0.1757765947
630	0.1757765847
631	0.1757761088
632	0.1757760843
633	0.175776066
634	0.1757760011
635	0.1757756065
636	0.1757745948
637	0.1757745438
638	0.175774439
639	0.1757732299
640	0.1757731783
641	0.1757730703
642	0.1757727137
643	0.1757727062
644	0.1757726236
645	0.1757724991
646	0.1757719518
647	0.1757718879
648	0.1757717237
649	0.1757716834
650	0.1757716129
651	0.1757715909
652	0.1757715416
653	0.1757714897
654	0.1757712513
655	0.1757712069
656	0.1757711784
657	0.1757709782
658	0.1757709672
659	0.1757709662
660	0.1757708794
661	0.1757707975
662	0.1757702496
663	0.1757702324
664	0.1757694661
665	0.1757694596
666	0.1757687631
667	0.1757687371
668	0.1757686779
669	0.1757682454
670	0.1757682149
671	0.1757682061
672	0.1757681886
673	0.1757677216
674	0.1757672762
675	0.1757670638
676	0.1757670257
677	0.17576702
678	0.1757670098
679	0.1757669545
680	0.1757668639
681	0.1757668092
682	0.1757667252
683	0.1757666817
684	0.1757666765
685	0.1757665886
686	0.1757665378
687	0.1757658941
688	0.1757654861
689	0.1757654795
690	0.1757644334
691	0.1757643778
692	0.175764376
693	0.1757638157
694	0.1757633616
695	0.1757631068
696	0.1757625554
697	0.1757625047
698	0.1757622951
699	0.1757615404
700	0.1757615298
701	0.1757611684
702	0.1757611402
703	0.1757610045
704	0.1757609732
705	0.1757609556
706	0.17576095
707	0.1757607912
708	0.1757604556
709	0.1757589041
710	0.1757586512
711	0.1757584475
712	0.1757583486
713	0.1757583012
714	0.1757580982
715	0.1757579979
716	0.1757579827
717	0.1757576947
718	0.1757573195
719	0.175757312
720	0.1757573099
721	0.1757570166
722	0.1757569509
723	0.1757562499
724	0.1757561746
725	0.1757561378
726	0.1757560043
727	0.1757555287
728	0.1757554757
729	0.1757554654
730	0.1757551433
731	0.1757550671
732	0.1757550588
733	0.1757549068
734	0.1757548845
735	0.1757542234
736	0.1757541613
737	0.1757540974
738	0.1757540322
739	0.1757540268
740	0.1757540065
741	0.1757539661
742	0.1757539657
743	0.1757539621
744	0.1757537873
745	0.1757536618
746	0.1757535759
747	0.175753408
748	0.1757532489
749	0.175752502
750	0.1757523771
751	0.1757522806
752	0.1757509026
753	0.1757501253
754	0.1757494974
755	0.1757494923
756	0.1757492293
757	0.1757480071
758	0.1757479908
759	0.1757479455
760	0.1757478979
761	0.1757472587
762	0.1757462161
763	0.1757462113
764	0.1757459915
765	0.1757456848
766	0.1757456155
767	0.175745488
768	0.1757454813
769	0.1757454652
770	0.1757445257
771	0.1757444725
772	0.1757441665
773	0.1757441306
774	0.1757437629
775	0.1757436807
776	0.1757436623
777	0.1757429424
778	0.175742941
779	0.175742915
780	0.1757428818
781	0.1757428308
782	0.175742816
783	0.1757424337
784	0.1757423378
785	0.1757422493
786	0.1757422149
787	0.1757418292
788	0.1757416789
789	0.1757416767
790	0.1757416729
791	0.1757414298
792	0.1757414253
793	0.1757413518
794	0.175741269
795	0.1757412576
796	0.1757412391
797	0.1757407708
798	0.1757404658
799	0.1757404619
800	0.1757404267
801	0.1757400505
802	0.1757399841
803	0.1757399331
804	0.1757398793
805	0.1757398625
806	0.1757398615
807	0.1757397774
808	0.1757397764
809	0.1757396662
810	0.1757395771
811	0.1757395724
812	0.1757389311
813	0.1757380598
814	0.1757380411
815	0.1757379865
816	0.1757379364
817	0.1757373152
818	0.1757372264
819	0.1757372205
820	0.1757362965
821	0.1757362451
822	0.175736234
823	0.1757361939
824	0.1757361887
825	0.1757361017
826	0.1757359472
827	0.1757359426
828	0.1757359361
829	0.175735932
830	0.1757347515
831	0.1757347102
832	0.1757346928
833	0.1757346805
834	0.1757346653
835	0.1757346637
836	0.1757340464
837	0.1757340449
838	0.1757340397
839	0.1757340382
840	0.1757340177
841	0.1757340129
842	0.1757335772
843	0.1757334273
844	0.1757333834
845	0.1757325215
846	0.1757325194
847	0.1757324856
848	0.1757323863
849	0.1757320118
850	0.1757320082
851	0.1757319939
852	0.1757319916
853	0.1757319674
854	0.1757319637
855	0.1757317764
856	0.1757317163
857	0.1757317065
858	0.1757317046
859	0.1757316584
860	0.1757315494
861	0.1757312312
862	0.1757312221
863	0.1757309135
864	0.1757307058
865	0.1757306738
866	0.1757306253
867	0.1757302984
868	0.1757297265
869	0.1757295086
870	0.175729382
871	0.1757293676
872	0.1757293653
873	0.1757293078
874	0.1757292872
875	0.1757292489
876	0.1757286317
877	0.1757285675
878	0.1757285645
879	0.1757285527
880	0.1757285285
881	0.1757285207
882	0.175728518
883	0.1757282859
884	0.1757282835
885	0.1757282816
886	0.1757282103
887	0.1757281719
888	0.1757278786
889	0.1757278551
890	0.1757277842
891	0.175727777
892	0.1757276779
893	0.1757276661
894	0.175727624
895	0.1757276221
896	0.1757275034
897	0.1757274751
898	0.1757273286
899	0.175727327
900	0.175727244
901	0.1757262423
902	0.1757262286
903	0.1757262268
904	0.175726213
905	0.1757261785
906	0.1757260077
907	0.1757258059
908	0.1757257969
909	0.1757257759
910	0.1757257738
911	0.1757256315
912	0.1757248163
913	0.1757248148
914	0.1757245735
915	0.175724259
916	0.1757242565
917	0.1757241742
918	0.1757236165
919	0.175723612
920	0.1757234337
921	0.175723294
922	0.1757232921
923	0.1757232378
924	0.1757232376
925	0.1757232347
926	0.1757223966
927	0.1757223543
928	0.1757220945
929	0.1757218233
930	0.1757217972
931	0.1757217945
932	0.1757217024
933	0.175721218
934	0.1757209842
935	0.1757209425
936	0.1757208479
937	0.1757207054
938	0.1757206781
939	0.1757205856
940	0.1757205092
941	0.1757205052
942	0.1757203956
943	0.1757202871
944	0.1757200549
945	0.1757199768
946	0.1757199392
947	0.1757199295
948	0.175719871
949	0.1757192062
950	0.1757189943
951	0.175718987
952	0.175718959
953	0.1757189326
954	0.1757180588
955	0.1757180548
956	0.1757179598
957	0.1757175435
958	0.1757175293
959	0.1757174842
960	0.1757174503
961	0.1757173798
962	0.1757171827
963	0.1757171597
964	0.175717126
965	0.1757169548
966	0.1757167206
967	0.1757167142
968	0.1757167085
969	0.1757164955
970	0.1757164884
971	0.1757164363
972	0.1757163968
973	0.1757161669
974	0.1757160813
975	0.1757160656
976	0.1757160596
977	0.1757158368
978	0.1757158315
979	0.1757158009
980	0.1757157835
981	0.1757153469
982	0.1757152923
983	0.1757152741
984	0.1757152679
985	0.1757152624
986	0.175714752
987	0.175714581
988	0.1757145772
989	0.1757143743
990	0.1757137449
991	0.1757137123
992	0.1757137075
993	0.1757136664
994	0.1757136575
995	0.1757136539
996	0.1757135991
997	0.1757134464
998	0.1757134146
999	0.175713373
