iter	Passed	Remaining
647	2936	1594
648	2940	1590
649	2944	1585
650	2948	1580
651	2952	1576
652	2956	1571
653	2960	1566
654	2965	1561
655	2969	1557
656	2973	1552
657	2977	1547
658	2981	1542
659	2983	1536
660	2987	1532
661	2991	1527
662	2995	1522
663	2999	1517
664	3003	1513
665	3006	1507
666	3010	1503
667	3014	1498
668	3018	1493
669	3023	1489
670	3027	1484
671	3030	1478
672	3033	1474
673	3038	1469
674	3042	1464
675	3046	1459
676	3050	1455
677	3053	1450
678	3055	1444
679	3059	1439
680	3063	1435
681	3067	1430
682	3072	1425
683	3076	1421
684	3080	1416
685	3084	1411
686	3088	1407
687	3092	1402
688	3096	1397
689	3098	1392
690	3102	1387
691	3105	1382
692	3108	1377
693	3112	1372
694	3116	1367
695	3120	1362
696	3124	1358
697	3128	1353
698	3132	1348
699	3136	1344
700	3139	1339
701	3143	1334
702	3147	1329
703	3151	1325
704	3155	1320
705	3159	1315
706	3162	1310
707	3166	1305
708	3170	1301
709	3174	1296
710	3178	1291
711	3182	1287
712	3185	1282
713	3190	1277
714	3193	1273
715	3197	1268
716	3201	1263
717	3205	1259
718	3209	1254
719	3212	1249
720	3217	1244
721	3221	1240
722	3225	1235
723	3229	1230
724	3232	1226
725	3236	1221
726	3240	1216
727	3244	1212
728	3248	1207
729	3250	1202
730	3254	1197
731	3258	1193
732	3262	1188
733	3266	1183
734	3269	1178
735	3274	1174
736	3279	1170
737	3284	1166
738	3289	1161
739	3292	1156
740	3296	1152
741	3301	1147
742	3304	1142
743	3307	1137
744	3311	1133
745	3316	1129
746	3320	1124
747	3324	1119
748	3328	1115
749	3332	1110
750	3336	1106
751	3340	1101
752	3344	1097
753	3348	1092
754	3355	1088
755	3363	1085
756	3371	1082
757	3378	1078
758	3381	1073
759	3385	1069
760	3389	1064
761	3393	1059
762	3399	1055
763	3405	1051
764	3412	1048
765	3419	1044
766	3426	1040
767	3433	1037
768	3440	1033
769	3447	1029
770	3455	1026
771	3465	1023
772	3472	1019
773	3479	1016
774	3487	1012
775	3494	1008
776	3499	1004
777	3506	1000
778	3514	997
779	3519	992
780	3523	987
781	3527	983
782	3531	978
783	3535	974
784	3539	969
785	3543	964
786	3546	959
787	3550	955
788	3554	950
789	3556	945
790	3559	940
791	3564	936
792	3568	931
793	3572	926
794	3576	922
795	3580	917
796	3584	913
797	3588	908
798	3592	903
799	3595	898
800	3599	894
801	3603	889
802	3607	885
803	3611	880
804	3615	875
805	3619	871
806	3622	866
807	3626	861
808	3629	856
809	3633	852
810	3637	847
811	3639	842
812	3643	838
813	3647	833
814	3651	828
815	3655	824
816	3659	819
817	3663	815
818	3667	810
819	3670	805
820	3674	801
821	3678	796
822	3682	791
823	3685	787
824	3688	782
825	3693	777
826	3697	773
827	3699	768
828	3703	763
829	3706	759
830	3710	754
831	3714	750
832	3717	745
833	3720	740
834	3724	736
835	3727	731
836	3732	726
837	3735	722
838	3738	717
839	3741	712
840	3745	708
841	3748	703
842	3752	698
843	3756	694
844	3760	689
845	3764	685
846	3768	680
847	3772	676
848	3776	671
849	3780	667
850	3782	662
851	3785	657
852	3788	652
853	3792	648
854	3795	643
855	3799	639
856	3803	634
857	3807	630
858	3809	625
859	3813	620
860	3817	616
861	3821	611
862	3824	607
863	3828	602
864	3832	598
865	3836	593
866	3839	589
867	3843	584
868	3847	580
869	3851	575
870	3855	571
871	3859	566
872	3863	562
873	3867	557
874	3871	553
875	3875	548
876	3879	544
877	3883	539
878	3886	535
879	3890	530
880	3894	526
881	3898	521
882	3901	516
883	3905	512
884	3907	507
885	3910	503
886	3914	498
887	3918	494
888	3922	489
889	3926	485
890	3930	480
891	3934	476
892	3938	471
893	3941	467
894	3946	462
895	3948	458
896	3952	453
897	3956	449
898	3960	444
899	3963	440
900	3967	435
901	3971	431
902	3975	427
903	3977	422
904	3981	417
905	3985	413
906	3990	409
907	3994	404
908	3997	400
909	4001	395
910	4003	391
911	4007	386
912	4011	382
913	4014	377
914	4018	373
915	4022	368
916	4025	364
917	4029	359
918	4033	355
919	4037	351
920	4041	346
921	4045	342
922	4047	337
923	4051	333
924	4054	328
925	4058	324
926	4062	319
927	4066	315
928	4070	311
929	4074	306
930	4078	302
931	4080	297
932	4084	293
933	4088	288
934	4092	284
935	4096	280
936	4100	275
937	4104	271
938	4108	266
939	4112	262
940	4116	258
941	4119	253
942	4123	249
943	4127	244
944	4131	240
945	4135	236
946	4139	231
947	4143	227
948	4147	222
949	4151	218
950	4155	214
951	4159	209
952	4163	205
953	4167	200
954	4171	196
955	4173	192
956	4177	187
957	4181	183
958	4184	178
959	4188	174
960	4192	170
961	4196	165
962	4200	161
963	4204	157
964	4208	152
965	4212	148
966	4216	143
967	4220	139
968	4223	135
969	4227	130
970	4231	126
971	4235	122
972	4239	117
973	4243	113
974	4247	108
975	4251	104
976	4255	100
977	4259	95
978	4261	91
979	4265	87
980	4269	82
981	4273	78
982	4277	73
983	4281	69
984	4284	65
985	4286	60
986	4290	56
987	4294	52
988	4298	47
989	4302	43
990	4306	39
991	4310	34
992	4312	30
993	4316	26
994	4320	21
995	4322	17
996	4326	13
997	4331	8
998	4338	4
999	4342	0
